ProbeTemp,Time
59.57,0
59.57,1
59.57,2
55.66,3
54.69,4
54.69,5
54.69,6
55.66,7
55.66,8
54.69,9
54.69,10
54.69,11
55.66,12
55.66,13
55.66,14
56.64,15
55.66,16
55.66,17
55.66,18
54.69,19
57.62,20
55.66,21
54.69,22
55.66,23
55.66,24
55.66,25
54.69,26
54.69,27
54.69,28
55.66,29
54.69,30
55.66,31
54.69,32
55.66,33
54.69,34
55.66,35
55.66,36
55.66,37
55.66,38
54.69,39
55.66,40
55.66,41
55.66,42
55.66,43
55.66,44
55.66,45
55.66,46
56.64,47
57.62,48
55.66,49
54.69,50
55.66,51
55.66,52
55.66,53
56.64,54
54.69,55
55.66,56
56.64,57
56.64,58
56.64,59
56.64,60
56.64,61
56.64,62
56.64,63
56.64,64
56.64,65
55.66,66
55.66,67
55.66,68
55.66,69
56.64,70
56.64,71
57.62,72
56.64,73
55.66,74
55.66,75
56.64,76
56.64,77
56.64,78
56.64,79
56.64,80
56.64,81
56.64,82
56.64,83
56.64,84
56.64,85
56.64,86
56.64,87
57.62,88
57.62,89
56.64,90
56.64,91
57.62,92
57.62,93
56.64,94
59.57,95
57.62,96
57.62,97
58.59,98
58.59,99
57.62,100
57.62,101
57.62,102
57.62,103
58.59,104
58.59,105
58.59,106
57.62,107
58.59,108
58.59,109
58.59,110
58.59,111
58.59,112
58.59,113
59.57,114
58.59,115
60.55,116
60.55,117
60.55,118
59.57,119
60.55,120
60.55,121
60.55,122
60.55,123
61.52,124
59.57,125
60.55,126
59.57,127
59.57,128
60.55,129
60.55,130
61.52,131
61.52,132
61.52,133
60.55,134
61.52,135
61.52,136
60.55,137
61.52,138
60.55,139
61.52,140
62.5,141
62.5,142
62.5,143
62.5,144
60.55,145
62.5,146
61.52,147
61.52,148
61.52,149
61.52,150
62.5,151
63.48,152
61.52,153
62.5,154
62.5,155
61.52,156
62.5,157
62.5,158
62.5,159
62.5,160
63.48,161
62.5,162
62.5,163
62.5,164
62.5,165
63.48,166
62.5,167
62.5,168
62.5,169
62.5,170
63.48,171
63.48,172
63.48,173
63.48,174
62.5,175
63.48,176
