ProbeTemp,Time
69.34,0
70.31,1
70.31,2
16.6,3
17.58,4
17.58,5
18.55,6
17.58,7
18.55,8
18.55,9
18.55,10
19.53,11
18.55,12
18.55,13
18.55,14
20.51,15
20.51,16
22.46,17
21.48,18
21.48,19
21.48,20
21.48,21
22.46,22
22.46,23
22.46,24
23.44,25
23.44,26
23.44,27
23.44,28
24.41,29
24.41,30
25.39,31
25.39,32
25.39,33
25.39,34
25.39,35
26.37,36
27.34,37
27.34,38
26.37,39
26.37,40
27.34,41
28.32,42
28.32,43
29.3,44
28.32,45
28.32,46
29.3,47
30.27,48
30.27,49
29.3,50
30.27,51
30.27,52
30.27,53
30.27,54
30.27,55
31.25,56
32.23,57
31.25,58
31.25,59
32.23,60
31.25,61
31.25,62
32.23,63
32.23,64
33.2,65
33.2,66
32.23,67
33.2,68
33.2,69
33.2,70
33.2,71
36.13,72
36.13,73
36.13,74
34.18,75
34.18,76
34.18,77
34.18,78
35.16,79
36.13,80
36.13,81
36.13,82
36.13,83
36.13,84
36.13,85
37.11,86
36.13,87
37.11,88
39.06,89
37.11,90
37.11,91
37.11,92
37.11,93
39.06,94
38.09,95
37.11,96
37.11,97
38.09,98
38.09,99
39.06,100
38.09,101
38.09,102
38.09,103
39.06,104
39.06,105
39.06,106
40.04,107
39.06,108
39.06,109
41.02,110
41.02,111
41.02,112
40.04,113
40.04,114
40.04,115
41.02,116
40.04,117
41.02,118
41.99,119
41.02,120
41.02,121
41.02,122
41.02,123
41.02,124
41.99,125
41.99,126
41.99,127
41.99,128
41.99,129
41.99,130
41.99,131
41.99,132
42.97,133
42.97,134
41.99,135
42.97,136
42.97,137
42.97,138
41.99,139
42.97,140
43.95,141
42.97,142
42.97,143
42.97,144
42.97,145
42.97,146
43.95,147
42.97,148
43.95,149
43.95,150
43.95,151
44.92,152
45.9,153
44.92,154
43.95,155
43.95,156
44.92,157
44.92,158
44.92,159
44.92,160
46.88,161
45.9,162
44.92,163
44.92,164
44.92,165
44.92,166
44.92,167
45.9,168
45.9,169
45.9,170
45.9,171
45.9,172
45.9,173
46.88,174
45.9,175
45.9,176
46.88,177
45.9,178
47.85,179
46.88,180
46.88,181
46.88,182
46.88,183
46.88,184
46.88,185
46.88,186
45.9,187
47.85,188
49.8,189
46.88,190
46.88,191
47.85,192
47.85,193
47.85,194
47.85,195
47.85,196
47.85,197
47.85,198
48.83,199
47.85,200
47.85,201
47.85,202
47.85,203
47.85,204
46.88,205
48.83,206
48.83,207
49.8,208
49.8,209
48.83,210
48.83,211
48.83,212
48.83,213
49.8,214
49.8,215
48.83,216
48.83,217
48.83,218
49.8,219
49.8,220
50.78,221
49.8,222
48.83,223
48.83,224
48.83,225
49.8,226
49.8,227
49.8,228
49.8,229
50.78,230
48.83,231
49.8,232
50.78,233
50.78,234
50.78,235
49.8,236
49.8,237
50.78,238
49.8,239
49.8,240
50.78,241
51.76,242
51.76,243
50.78,244
50.78,245
50.78,246
51.76,247
50.78,248
50.78,249
50.78,250
51.76,251
50.78,252
50.78,253
50.78,254
50.78,255
51.76,256
52.73,257
51.76,258
51.76,259
50.78,260
50.78,261
50.78,262
51.76,263
51.76,264
51.76,265
50.78,266
51.76,267
51.76,268
