ProbeTemp,Time
0,0
21.48,10
21.48,20
20.51,30
21.48,40
21.48,50
21.48,60
21.48,70
20.51,80
20.51,90
21.48,100
21.48,110
21.48,120
21.48,130
21.48,140
21.48,150
21.48,160
21.48,170
24.41,180
21.48,190
21.48,200
22.46,210
22.46,220
22.46,230
22.46,240
21.48,250
23.44,260
22.46,270
22.46,280
22.46,290
22.46,300
23.44,310
24.41,320
22.46,330
22.46,340
23.44,350
22.46,360
23.44,370
21.48,380
22.46,390
22.46,400
22.46,410
21.48,420
22.46,430
22.46,440
21.48,450
21.48,460
20.51,470
21.48,480
21.48,490
20.51,500
22.46,510
21.48,520
21.48,530
21.48,540
21.48,550
21.48,560
21.48,570
21.48,580
21.48,590
21.48,600
21.48,610
20.51,620
22.46,630
21.48,640
21.48,650
22.46,660
21.48,670
21.48,680
22.46,690
24.41,700
22.46,710
22.46,720
22.46,730
20.51,740
21.48,750
21.48,760
22.46,770
22.46,780
22.46,790
20.51,800
22.46,810
19.53,820
22.46,830
21.48,840
21.48,850
22.46,860
21.48,870
21.48,880
21.48,890
20.51,900
21.48,910
21.48,920
21.48,930
22.46,940
22.46,950
20.51,960
21.48,970
21.48,980
20.51,990
22.46,1000
20.51,1010
21.48,1020
21.48,1030
21.48,1040
23.44,1050
22.46,1060
21.48,1070
21.48,1080
21.48,1090
21.48,1100
21.48,1110
22.46,1120
20.51,1130
21.48,1140
22.46,1150
21.48,1160
21.48,1170
20.51,1180
22.46,1190
22.46,1200
21.48,1210
23.44,1220
20.51,1230
21.48,1240
21.48,1250
21.48,1260
21.48,1270
22.46,1280
21.48,1290
21.48,1300
21.48,1310
21.48,1320
21.48,1330
21.48,1340
21.48,1350
22.46,1360
21.48,1370
21.48,1380
21.48,1390
21.48,1400
21.48,1410
21.48,1420
21.48,1430
22.46,1440
20.51,1450
21.48,1460
21.48,1470
22.46,1480
21.48,1490
23.44,1500
21.48,1510
21.48,1520
21.48,1530
21.48,1540
22.46,1550
22.46,1560
22.46,1570
22.46,1580
21.48,1590
22.46,1600
21.48,1610
20.51,1620
21.48,1630
21.48,1640
21.48,1650
22.46,1660
21.48,1670
22.46,1680
22.46,1690
22.46,1700
21.48,1710
21.48,1720
22.46,1730
21.48,1740
20.51,1750
21.48,1760
22.46,1770
20.51,1780
21.48,1790
21.48,1800
21.48,1810
21.48,1820
22.46,1830
21.48,1840
22.46,1850
21.48,1860
21.48,1870
22.46,1880
21.48,1890
22.46,1900
21.48,1910
22.46,1920
22.46,1930
22.46,1940
22.46,1950
23.44,1960
22.46,1970
21.48,1980
22.46,1990
20.51,2000
23.44,2010
21.48,2020
21.48,2030
21.48,2040
21.48,2050
21.48,2060
21.48,2070
21.48,2080
21.48,2090
22.46,2100
21.48,2110
21.48,2120
22.46,2130
21.48,2140
21.48,2150
21.48,2160
21.48,2170
21.48,2180
23.44,2190
21.48,2200
22.46,2210
21.48,2220
21.48,2230
21.48,2240
21.48,2250
21.48,2260
21.48,2270
21.48,2280
22.46,2290
20.51,2300
21.48,2310
21.48,2320
21.48,2330
21.48,2340
21.48,2350
22.46,2360
21.48,2370
21.48,2380
20.51,2390
22.46,2400
21.48,2410
22.46,2420
21.48,2430
19.53,2440
21.48,2450
21.48,2460
21.48,2470
22.46,2480
20.51,2490
21.48,2500
22.46,2510
21.48,2520
22.46,2530
21.48,2540
21.48,2550
21.48,2560
21.48,2570
21.48,2580
21.48,2590
21.48,2600
21.48,2610
22.46,2620
21.48,2630
21.48,2640
20.51,2650
22.46,2660
21.48,2670
21.48,2680
20.51,2690
21.48,2700
21.48,2710
21.48,2720
21.48,2730
21.48,2740
21.48,2750
22.46,2760
21.48,2770
22.46,2780
19.53,2790
21.48,2800
21.48,2810
21.48,2820
21.48,2830
21.48,2840
21.48,2850
21.48,2860
20.51,2870
20.51,2880
21.48,2890
21.48,2900
21.48,2910
21.48,2920
21.48,2930
23.44,2940
20.51,2950
21.48,2960
22.46,2970
22.46,2980
21.48,2990
21.48,3000
20.51,3010
21.48,3020
22.46,3030
21.48,3040
21.48,3050
21.48,3060
21.48,3070
21.48,3080
20.51,3090
21.48,3100
21.48,3110
21.48,3120
21.48,3130
22.46,3140
20.51,3150
23.44,3160
20.51,3170
21.48,3180
21.48,3190
21.48,3200
21.48,3210
21.48,3220
20.51,3230
22.46,3240
21.48,3250
21.48,3260
21.48,3270
21.48,3280
22.46,3290
21.48,3300
20.51,3310
21.48,3320
21.48,3330
22.46,3340
21.48,3350
21.48,3360
20.51,3370
20.51,3380
21.48,3390
21.48,3400
22.46,3410
22.46,3420
21.48,3430
21.48,3440
21.48,3450
21.48,3460
20.51,3470
21.48,3480
22.46,3490
21.48,3500
21.48,3510
20.51,3520
21.48,3530
21.48,3540
21.48,3550
21.48,3560
22.46,3570
21.48,3580
21.48,3590
21.48,3600
20.51,3610
20.51,3620
21.48,3630
21.48,3640
21.48,3650
22.46,3660
20.51,3670
20.51,3680
21.48,3690
21.48,3700
21.48,3710
21.48,3720
20.51,3730
21.48,3740
20.51,3750
22.46,3760
21.48,3770
21.48,3780
21.48,3790
22.46,3800
21.48,3810
22.46,3820
22.46,3830
21.48,3840
22.46,3850
21.48,3860
22.46,3870
21.48,3880
20.51,3890
21.48,3900
21.48,3910
21.48,3920
22.46,3930
21.48,3940
21.48,3950
21.48,3960
22.46,3970
21.48,3980
20.51,3990
21.48,4000
20.51,4010
20.51,4020
21.48,4030
22.46,4040
20.51,4050
21.48,4060
21.48,4070
22.46,4080
21.48,4090
21.48,4100
21.48,4110
21.48,4120
21.48,4130
21.48,4140
23.44,4150
21.48,4160
21.48,4170
21.48,4180
21.48,4190
21.48,4200
21.48,4210
22.46,4220
21.48,4230
21.48,4240
21.48,4250
22.46,4260
21.48,4270
21.48,4280
20.51,4290
21.48,4300
20.51,4310
21.48,4320
20.51,4330
22.46,4340
20.51,4350
21.48,4360
21.48,4370
19.53,4380
21.48,4390
21.48,4400
21.48,4410
21.48,4420
20.51,4430
20.51,4440
20.51,4450
19.53,4460
21.48,4470
20.51,4480
20.51,4490
21.48,4500
21.48,4510
21.48,4520
22.46,4530
21.48,4540
21.48,4550
21.48,4560
21.48,4570
21.48,4580
21.48,4590
21.48,4600
21.48,4610
22.46,4620
22.46,4630
21.48,4640
21.48,4650
20.51,4660
20.51,4670
21.48,4680
21.48,4690
21.48,4700
21.48,4710
21.48,4720
20.51,4730
21.48,4740
21.48,4750
21.48,4760
20.51,4770
22.46,4780
21.48,4790
23.44,4800
21.48,4810
22.46,4820
22.46,4830
22.46,4840
22.46,4850
22.46,4860
21.48,4870
22.46,4880
23.44,4890
23.44,4900
22.46,4910
20.51,4920
22.46,4930
22.46,4940
21.48,4950
20.51,4960
21.48,4970
21.48,4980
21.48,4990
21.48,5000
20.51,5010
21.48,5020
21.48,5030
20.51,5040
20.51,5050
20.51,5060
20.51,5070
20.51,5080
20.51,5090
20.51,5100
21.48,5110
21.48,5120
20.51,5130
21.48,5140
21.48,5150
21.48,5160
21.48,5170
20.51,5180
21.48,5190
21.48,5200
21.48,5210
20.51,5220
20.51,5230
20.51,5240
21.48,5250
21.48,5260
20.51,5270
20.51,5280
21.48,5290
21.48,5300
20.51,5310
20.51,5320
20.51,5330
21.48,5340
20.51,5350
21.48,5360
20.51,5370
19.53,5380
21.48,5390
20.51,5400
19.53,5410
20.51,5420
20.51,5430
20.51,5440
20.51,5450
19.53,5460
20.51,5470
21.48,5480
20.51,5490
20.51,5500
20.51,5510
21.48,5520
21.48,5530
20.51,5540
21.48,5550
22.46,5560
21.48,5570
20.51,5580
20.51,5590
21.48,5600
19.53,5610
21.48,5620
20.51,5630
20.51,5640
20.51,5650
20.51,5660
20.51,5670
20.51,5680
20.51,5690
21.48,5700
20.51,5710
20.51,5720
21.48,5730
21.48,5740
20.51,5750
21.48,5760
20.51,5770
21.48,5780
19.53,5790
21.48,5800
20.51,5810
20.51,5820
20.51,5830
20.51,5840
20.51,5850
21.48,5860
21.48,5870
21.48,5880
21.48,5890
21.48,5900
20.51,5910
21.48,5920
21.48,5930
20.51,5940
21.48,5950
19.53,5960
21.48,5970
19.53,5980
21.48,5990
21.48,6000
21.48,6010
20.51,6020
21.48,6030
20.51,6040
21.48,6050
21.48,6060
21.48,6070
20.51,6080
21.48,6090
20.51,6100
20.51,6110
20.51,6120
21.48,6130
20.51,6140
21.48,6150
20.51,6160
21.48,6170
21.48,6180
21.48,6190
20.51,6200
21.48,6210
20.51,6220
20.51,6230
21.48,6240
19.53,6250
20.51,6260
21.48,6270
21.48,6280
21.48,6290
20.51,6300
20.51,6310
20.51,6320
21.48,6330
20.51,6340
20.51,6350
21.48,6360
20.51,6370
20.51,6380
21.48,6390
21.48,6400
21.48,6410
21.48,6420
21.48,6430
21.48,6440
20.51,6450
20.51,6460
20.51,6470
19.53,6480
21.48,6490
21.48,6500
20.51,6510
21.48,6520
22.46,6530
20.51,6540
20.51,6550
20.51,6560
20.51,6570
20.51,6580
21.48,6590
20.51,6600
20.51,6610
21.48,6620
20.51,6630
20.51,6640
21.48,6650
20.51,6660
21.48,6670
20.51,6680
21.48,6690
20.51,6700
20.51,6710
20.51,6720
20.51,6730
21.48,6740
20.51,6750
20.51,6760
20.51,6770
21.48,6780
20.51,6790
20.51,6800
20.51,6810
20.51,6820
20.51,6830
20.51,6840
21.48,6850
20.51,6860
20.51,6870
20.51,6880
20.51,6890
20.51,6900
21.48,6910
21.48,6920
20.51,6930
20.51,6940
21.48,6950
21.48,6960
20.51,6970
21.48,6980
21.48,6990
20.51,7000
20.51,7010
20.51,7020
20.51,7030
20.51,7040
20.51,7050
21.48,7060
21.48,7070
21.48,7080
20.51,7090
20.51,7100
21.48,7110
19.53,7120
22.46,7130
20.51,7140
21.48,7150
20.51,7160
21.48,7170
20.51,7180
21.48,7190
21.48,7200
21.48,7210
20.51,7220
21.48,7230
20.51,7240
21.48,7250
20.51,7260
21.48,7270
20.51,7280
21.48,7290
20.51,7300
22.46,7310
20.51,7320
20.51,7330
21.48,7340
21.48,7350
20.51,7360
20.51,7370
21.48,7380
21.48,7390
20.51,7400
20.51,7410
20.51,7420
20.51,7430
20.51,7440
19.53,7450
21.48,7460
21.48,7470
21.48,7480
21.48,7490
20.51,7500
20.51,7510
20.51,7520
21.48,7530
20.51,7540
20.51,7550
21.48,7560
21.48,7570
21.48,7580
21.48,7590
20.51,7600
21.48,7610
21.48,7620
20.51,7630
20.51,7640
21.48,7650
21.48,7660
21.48,7670
20.51,7680
20.51,7690
21.48,7700
21.48,7710
20.51,7720
20.51,7730
19.53,7740
21.48,7750
20.51,7760
20.51,7770
21.48,7780
21.48,7790
20.51,7800
20.51,7810
20.51,7820
20.51,7830
21.48,7840
21.48,7850
21.48,7860
21.48,7870
20.51,7880
20.51,7890
21.48,7900
20.51,7910
20.51,7920
21.48,7930
21.48,7940
19.53,7950
21.48,7960
21.48,7970
21.48,7980
21.48,7990
20.51,8000
19.53,8010
19.53,8020
20.51,8030
20.51,8040
20.51,8050
20.51,8060
21.48,8070
21.48,8080
21.48,8090
20.51,8100
21.48,8110
20.51,8120
20.51,8130
21.48,8140
20.51,8150
20.51,8160
21.48,8170
20.51,8180
21.48,8190
21.48,8200
20.51,8210
21.48,8220
21.48,8230
20.51,8240
21.48,8250
20.51,8260
20.51,8270
22.46,8280
21.48,8290
21.48,8300
20.51,8310
20.51,8320
20.51,8330
20.51,8340
20.51,8350
21.48,8360
19.53,8370
21.48,8380
20.51,8390
20.51,8400
21.48,8410
20.51,8420
21.48,8430
21.48,8440
21.48,8450
20.51,8460
21.48,8470
20.51,8480
20.51,8490
20.51,8500
19.53,8510
20.51,8520
20.51,8530
20.51,8540
21.48,8550
21.48,8560
20.51,8570
21.48,8580
21.48,8590
21.48,8600
20.51,8610
20.51,8620
20.51,8630
20.51,8640
20.51,8650
20.51,8660
20.51,8670
21.48,8680
21.48,8690
21.48,8700
21.48,8710
19.53,8720
20.51,8730
21.48,8740
21.48,8750
20.51,8760
19.53,8770
21.48,8780
20.51,8790
21.48,8800
20.51,8810
21.48,8820
20.51,8830
19.53,8840
21.48,8850
21.48,8860
20.51,8870
20.51,8880
19.53,8890
20.51,8900
19.53,8910
20.51,8920
19.53,8930
20.51,8940
21.48,8950
21.48,8960
21.48,8970
21.48,8980
20.51,8990
20.51,9000
21.48,9010
20.51,9020
21.48,9030
21.48,9040
20.51,9050
20.51,9060
21.48,9070
21.48,9080
21.48,9090
21.48,9100
21.48,9110
20.51,9120
20.51,9130
20.51,9140
20.51,9150
20.51,9160
20.51,9170
20.51,9180
21.48,9190
21.48,9200
20.51,9210
21.48,9220
20.51,9230
20.51,9240
21.48,9250
20.51,9260
20.51,9270
20.51,9280
20.51,9290
19.53,9300
20.51,9310
20.51,9320
20.51,9330
20.51,9340
20.51,9350
20.51,9360
20.51,9370
20.51,9380
21.48,9390
20.51,9400
20.51,9410
21.48,9420
21.48,9430
21.48,9440
21.48,9450
21.48,9460
21.48,9470
19.53,9480
21.48,9490
20.51,9500
19.53,9510
20.51,9520
21.48,9530
20.51,9540
21.48,9550
20.51,9560
20.51,9570
20.51,9580
19.53,9590
21.48,9600
21.48,9610
20.51,9620
20.51,9630
20.51,9640
20.51,9650
20.51,9660
21.48,9670
20.51,9680
21.48,9690
20.51,9700
20.51,9710
20.51,9720
20.51,9730
21.48,9740
20.51,9750
19.53,9760
20.51,9770
22.46,9780
20.51,9790
20.51,9800
20.51,9810
21.48,9820
20.51,9830
21.48,9840
21.48,9850
21.48,9860
21.48,9870
21.48,9880
20.51,9890
20.51,9900
20.51,9910
21.48,9920
20.51,9930
20.51,9940
21.48,9950
21.48,9960
21.48,9970
20.51,9980
20.51,9990
20.51,10000
21.48,10010
21.48,10020
21.48,10030
20.51,10040
21.48,10050
21.48,10060
21.48,10070
21.48,10080
21.48,10090
21.48,10100
21.48,10110
21.48,10120
20.51,10130
20.51,10140
20.51,10150
20.51,10160
21.48,10170
21.48,10180
20.51,10190
20.51,10200
20.51,10210
21.48,10220
20.51,10230
21.48,10240
20.51,10250
20.51,10260
20.51,10270
20.51,10280
21.48,10290
21.48,10300
21.48,10310
21.48,10320
21.48,10330
21.48,10340
22.46,10350
21.48,10360
20.51,10370
21.48,10380
19.53,10390
20.51,10400
22.46,10410
20.51,10420
21.48,10430
21.48,10440
20.51,10450
21.48,10460
21.48,10470
20.51,10480
21.48,10490
20.51,10500
20.51,10510
21.48,10520
21.48,10530
21.48,10540
21.48,10550
21.48,10560
20.51,10570
20.51,10580
22.46,10590
21.48,10600
21.48,10610
21.48,10620
20.51,10630
21.48,10640
20.51,10650
20.51,10660
20.51,10670
20.51,10680
20.51,10690
20.51,10700
21.48,10710
20.51,10720
19.53,10730
21.48,10740
20.51,10750
21.48,10760
20.51,10770
20.51,10780
20.51,10790
21.48,10800
21.48,10810
20.51,10820
21.48,10830
20.51,10840
19.53,10850
20.51,10860
21.48,10870
20.51,10880
21.48,10890
20.51,10900
19.53,10910
20.51,10920
20.51,10930
21.48,10940
21.48,10950
20.51,10960
20.51,10970
20.51,10980
21.48,10990
20.51,11000
21.48,11010
20.51,11020
20.51,11030
20.51,11040
20.51,11050
21.48,11060
21.48,11070
20.51,11080
20.51,11090
21.48,11100
21.48,11110
21.48,11120
21.48,11130
20.51,11140
21.48,11150
20.51,11160
20.51,11170
20.51,11180
20.51,11190
20.51,11200
21.48,11210
21.48,11220
21.48,11230
21.48,11240
20.51,11250
19.53,11260
20.51,11270
21.48,11280
20.51,11290
20.51,11300
21.48,11310
21.48,11320
20.51,11330
21.48,11340
20.51,11350
21.48,11360
22.46,11370
21.48,11380
20.51,11390
21.48,11400
20.51,11410
20.51,11420
21.48,11430
20.51,11440
20.51,11450
21.48,11460
21.48,11470
19.53,11480
19.53,11490
21.48,11500
20.51,11510
20.51,11520
19.53,11530
20.51,11540
21.48,11550
21.48,11560
21.48,11570
21.48,11580
20.51,11590
21.48,11600
20.51,11610
20.51,11620
21.48,11630
21.48,11640
19.53,11650
21.48,11660
20.51,11670
21.48,11680
19.53,11690
21.48,11700
21.48,11710
20.51,11720
20.51,11730
20.51,11740
20.51,11750
21.48,11760
21.48,11770
21.48,11780
21.48,11790
20.51,11800
20.51,11810
20.51,11820
21.48,11830
20.51,11840
20.51,11850
21.48,11860
20.51,11870
20.51,11880
20.51,11890
21.48,11900
21.48,11910
21.48,11920
21.48,11930
20.51,11940
20.51,11950
20.51,11960
20.51,11970
21.48,11980
21.48,11990
20.51,12000
20.51,12010
20.51,12020
21.48,12030
20.51,12040
21.48,12050
20.51,12060
20.51,12070
20.51,12080
20.51,12090
21.48,12100
21.48,12110
20.51,12120
20.51,12130
20.51,12140
20.51,12150
20.51,12160
19.53,12170
20.51,12180
21.48,12190
21.48,12200
21.48,12210
20.51,12220
20.51,12230
20.51,12240
21.48,12250
20.51,12260
20.51,12270
22.46,12280
22.46,12290
22.46,12300
21.48,12310
20.51,12320
20.51,12330
21.48,12340
20.51,12350
22.46,12360
21.48,12370
21.48,12380
21.48,12390
21.48,12400
20.51,12410
21.48,12420
22.46,12430
21.48,12440
21.48,12450
20.51,12460
20.51,12470
21.48,12480
20.51,12490
21.48,12500
22.46,12510
21.48,12520
22.46,12530
21.48,12540
21.48,12550
21.48,12560
22.46,12570
22.46,12580
21.48,12590
21.48,12600
21.48,12610
22.46,12620
21.48,12630
21.48,12640
21.48,12650
22.46,12660
22.46,12670
21.48,12680
21.48,12690
22.46,12700
21.48,12710
22.46,12720
22.46,12730
21.48,12740
21.48,12750
21.48,12760
21.48,12770
23.44,12780
22.46,12790
21.48,12800
21.48,12810
21.48,12820
21.48,12830
22.46,12840
21.48,12850
21.48,12860
21.48,12870
21.48,12880
21.48,12890
21.48,12900
21.48,12910
21.48,12920
21.48,12930
21.48,12940
22.46,12950
21.48,12960
22.46,12970
22.46,12980
21.48,12990
22.46,13000
22.46,13010
23.44,13020
22.46,13030
22.46,13040
22.46,13050
23.44,13060
22.46,13070
21.48,13080
21.48,13090
23.44,13100
21.48,13110
21.48,13120
21.48,13130
21.48,13140
22.46,13150
21.48,13160
21.48,13170
22.46,13180
22.46,13190
21.48,13200
22.46,13210
21.48,13220
22.46,13230
24.41,13240
22.46,13250
22.46,13260
22.46,13270
22.46,13280
23.44,13290
24.41,13300
21.48,13310
22.46,13320
22.46,13330
21.48,13340
21.48,13350
22.46,13360
21.48,13370
21.48,13380
21.48,13390
22.46,13400
22.46,13410
21.48,13420
22.46,13430
21.48,13440
22.46,13450
20.51,13460
24.41,13470
21.48,13480
21.48,13490
21.48,13500
21.48,13510
24.41,13520
22.46,13530
21.48,13540
21.48,13550
21.48,13560
22.46,13570
21.48,13580
22.46,13590
21.48,13600
21.48,13610
21.48,13620
21.48,13630
21.48,13640
21.48,13650
20.51,13660
21.48,13670
21.48,13680
24.41,13690
21.48,13700
22.46,13710
20.51,13720
21.48,13730
21.48,13740
21.48,13750
21.48,13760
21.48,13770
21.48,13780
24.41,13790
20.51,13800
22.46,13810
24.41,13820
22.46,13830
20.51,13840
21.48,13850
21.48,13860
20.51,13870
21.48,13880
21.48,13890
21.48,13900
21.48,13910
21.48,13920
21.48,13930
20.51,13940
21.48,13950
21.48,13960
21.48,13970
22.46,13980
22.46,13990
21.48,14000
24.41,14010
20.51,14020
21.48,14030
21.48,14040
22.46,14050
21.48,14060
21.48,14070
21.48,14080
20.51,14090
21.48,14100
21.48,14110
22.46,14120
21.48,14130
21.48,14140
21.48,14150
21.48,14160
21.48,14170
21.48,14180
20.51,14190
21.48,14200
20.51,14210
22.46,14220
22.46,14230
20.51,14240
21.48,14250
22.46,14260
21.48,14270
21.48,14280
22.46,14290
20.51,14300
21.48,14310
21.48,14320
21.48,14330
22.46,14340
21.48,14350
21.48,14360
24.41,14370
20.51,14380
21.48,14390
21.48,14400
21.48,14410
24.41,14420
21.48,14430
21.48,14440
21.48,14450
21.48,14460
21.48,14470
21.48,14480
21.48,14490
23.44,14500
21.48,14510
21.48,14520
