ProbeTemp,Time
69.34,0
70.31,1
70.31,2
16.6,3
17.58,4
17.58,5
18.55,6
17.58,7
18.55,8
18.55,9
18.55,10
19.53,11
18.55,12
18.55,13
18.55,14
20.51,15
20.51,16
22.46,17
21.48,18
21.48,19
21.48,20
21.48,21
22.46,22
22.46,23
22.46,24
23.44,25
23.44,26
23.44,27
23.44,28
24.41,29
24.41,30
25.39,31
25.39,32
25.39,33
25.39,34
25.39,35
26.37,36
27.34,37
27.34,38
26.37,39
26.37,40
27.34,41
28.32,42
28.32,43
29.3,44
28.32,45
28.32,46
29.3,47
30.27,48
30.27,49
29.3,50
30.27,51
30.27,52
30.27,53
30.27,54
30.27,55
31.25,56
32.23,57
