ProbeTemp,Time
0,0
0,1
98.63,2
99.61,3
100.59,4
100.59,5
99.61,6
100.59,7
98.63,8
98.63,9
98.63,10
98.63,11
98.63,12
99.61,13
99.61,14
98.63,15
97.66,16
99.61,17
99.61,18
99.61,19
100.59,20
99.61,21
99.61,22
99.61,23
99.61,24
100.59,25
99.61,26
99.61,27
99.61,28
100.59,29
100.59,30
100.59,31
100.59,32
101.56,33
100.59,34
100.59,35
100.59,36
101.56,37
101.56,38
102.54,39
102.54,40
102.54,41
101.56,42
101.56,43
103.52,44
102.54,45
102.54,46
102.54,47
103.52,48
102.54,49
103.52,50
103.52,51
103.52,52
103.52,53
104.49,54
104.49,55
104.49,56
103.52,57
104.49,58
104.49,59
103.52,60
105.47,61
104.49,62
106.45,63
104.49,64
104.49,65
104.49,66
104.49,67
105.47,68
104.49,69
106.45,70
105.47,71
105.47,72
106.45,73
105.47,74
105.47,75
105.47,76
105.47,77
105.47,78
105.47,79
106.45,80
106.45,81
106.45,82
107.42,83
108.4,84
108.4,85
106.45,86
108.4,87
108.4,88
108.4,89
109.37,90
109.37,91
110.35,92
110.35,93
111.33,94
111.33,95
