ProbeTemp,Time
21.48,0
22.46,10
21.48,20
21.48,30
22.46,40
21.48,50
21.48,60
21.48,70
21.48,80
21.48,90
21.48,100
21.48,110
24.41,120
20.51,130
21.48,140
22.46,150
21.48,160
21.48,170
21.48,180
21.48,190
21.48,200
21.48,210
21.48,220
20.51,230
21.48,240
21.48,250
21.48,260
21.48,270
21.48,280
21.48,290
23.44,300
22.46,310
21.48,320
21.48,330
24.41,340
20.51,350
21.48,360
22.46,370
21.48,380
21.48,390
21.48,400
21.48,410
21.48,420
20.51,430
20.51,440
20.51,450
20.51,460
21.48,470
21.48,480
20.51,490
19.53,500
20.51,510
20.51,520
20.51,530
19.53,540
20.51,550
20.51,560
20.51,570
20.51,580
20.51,590
20.51,600
19.53,610
20.51,620
20.51,630
20.51,640
21.48,650
20.51,660
21.48,670
20.51,680
20.51,690
20.51,700
20.51,710
21.48,720
20.51,730
20.51,740
20.51,750
20.51,760
20.51,770
21.48,780
20.51,790
19.53,800
19.53,810
20.51,820
21.48,830
19.53,840
20.51,850
21.48,860
20.51,870
22.46,880
19.53,890
20.51,900
20.51,910
20.51,920
21.48,930
19.53,940
21.48,950
21.48,960
20.51,970
21.48,980
21.48,990
20.51,1000
20.51,1010
20.51,1020
19.53,1030
20.51,1040
22.46,1050
21.48,1060
21.48,1070
20.51,1080
21.48,1090
21.48,1100
20.51,1110
21.48,1120
19.53,1130
20.51,1140
21.48,1150
21.48,1160
20.51,1170
19.53,1180
21.48,1190
21.48,1200
20.51,1210
21.48,1220
20.51,1230
20.51,1240
21.48,1250
20.51,1260
21.48,1270
22.46,1280
21.48,1290
20.51,1300
21.48,1310
22.46,1320
23.44,1330
21.48,1340
21.48,1350
23.44,1360
22.46,1370
21.48,1380
23.44,1390
22.46,1400
22.46,1410
23.44,1420
23.44,1430
23.44,1440
23.44,1450
22.46,1460
24.41,1470
24.41,1480
24.41,1490
24.41,1500
24.41,1510
25.39,1520
24.41,1530
24.41,1540
25.39,1550
24.41,1560
26.37,1570
26.37,1580
26.37,1590
26.37,1600
25.39,1610
27.34,1620
27.34,1630
26.37,1640
28.32,1650
27.34,1660
27.34,1670
27.34,1680
28.32,1690
27.34,1700
28.32,1710
28.32,1720
28.32,1730
29.3,1740
28.32,1750
29.3,1760
29.3,1770
29.3,1780
29.3,1790
29.3,1800
30.27,1810
29.3,1820
30.27,1830
30.27,1840
30.27,1850
31.25,1860
30.27,1870
31.25,1880
32.23,1890
31.25,1900
31.25,1910
31.25,1920
31.25,1930
32.23,1940
32.23,1950
31.25,1960
32.23,1970
31.25,1980
32.23,1990
32.23,2000
32.23,2010
32.23,2020
32.23,2030
33.2,2040
33.2,2050
33.2,2060
33.2,2070
33.2,2080
33.2,2090
34.18,2100
32.23,2110
33.2,2120
34.18,2130
33.2,2140
33.2,2150
34.18,2160
34.18,2170
34.18,2180
33.2,2190
34.18,2200
34.18,2210
34.18,2220
35.16,2230
34.18,2240
34.18,2250
35.16,2260
34.18,2270
34.18,2280
35.16,2290
35.16,2300
35.16,2310
34.18,2320
34.18,2330
36.13,2340
35.16,2350
36.13,2360
35.16,2370
36.13,2380
36.13,2390
36.13,2400
35.16,2410
36.13,2420
36.13,2430
35.16,2440
36.13,2450
35.16,2460
36.13,2470
35.16,2480
37.11,2490
36.13,2500
36.13,2510
35.16,2520
37.11,2530
36.13,2540
36.13,2550
36.13,2560
36.13,2570
36.13,2580
36.13,2590
37.11,2600
37.11,2610
37.11,2620
36.13,2630
37.11,2640
38.09,2650
37.11,2660
38.09,2670
37.11,2680
37.11,2690
36.13,2700
37.11,2710
37.11,2720
37.11,2730
37.11,2740
37.11,2750
37.11,2760
38.09,2770
38.09,2780
38.09,2790
37.11,2800
38.09,2810
37.11,2820
37.11,2830
38.09,2840
38.09,2850
38.09,2860
38.09,2870
38.09,2880
38.09,2890
38.09,2900
38.09,2910
38.09,2920
38.09,2930
37.11,2940
38.09,2950
39.06,2960
38.09,2970
38.09,2980
38.09,2990
39.06,3000
38.09,3010
38.09,3020
38.09,3030
38.09,3040
38.09,3050
38.09,3060
38.09,3070
38.09,3080
39.06,3090
39.06,3100
39.06,3110
39.06,3120
38.09,3130
38.09,3140
39.06,3150
39.06,3160
38.09,3170
39.06,3180
38.09,3190
38.09,3200
39.06,3210
39.06,3220
39.06,3230
39.06,3240
38.09,3250
39.06,3260
39.06,3270
38.09,3280
39.06,3290
39.06,3300
39.06,3310
39.06,3320
39.06,3330
38.09,3340
40.04,3350
39.06,3360
39.06,3370
40.04,3380
40.04,3390
39.06,3400
39.06,3410
39.06,3420
39.06,3430
39.06,3440
39.06,3450
39.06,3460
39.06,3470
39.06,3480
39.06,3490
40.04,3500
39.06,3510
39.06,3520
40.04,3530
39.06,3540
38.09,3550
39.06,3560
39.06,3570
39.06,3580
38.09,3590
40.04,3600
40.04,3610
39.06,3620
39.06,3630
40.04,3640
39.06,3650
38.09,3660
39.06,3670
39.06,3680
39.06,3690
39.06,3700
39.06,3710
39.06,3720
39.06,3730
40.04,3740
39.06,3750
39.06,3760
39.06,3770
39.06,3780
39.06,3790
39.06,3800
39.06,3810
39.06,3820
40.04,3830
39.06,3840
39.06,3850
40.04,3860
40.04,3870
40.04,3880
40.04,3890
40.04,3900
40.04,3910
40.04,3920
40.04,3930
40.04,3940
40.04,3950
40.04,3960
40.04,3970
40.04,3980
40.04,3990
40.04,4000
40.04,4010
40.04,4020
40.04,4030
40.04,4040
40.04,4050
40.04,4060
40.04,4070
40.04,4080
40.04,4090
40.04,4100
40.04,4110
40.04,4120
40.04,4130
40.04,4140
40.04,4150
40.04,4160
40.04,4170
40.04,4180
40.04,4190
40.04,4200
40.04,4210
40.04,4220
40.04,4230
40.04,4240
