ProbeTemp,Time
0,0
0,1
13.67,2
14.65,3
14.65,4
13.67,5
14.65,6
14.65,7
14.65,8
15.63,9
14.65,10
14.65,11
15.63,12
15.63,13
15.63,14
14.65,15
15.63,16
15.63,17
14.65,18
14.65,19
14.65,20
14.65,21
14.65,22
14.65,23
14.65,24
15.63,25
15.63,26
16.6,27
14.65,28
15.63,29
14.65,30
15.63,31
15.63,32
15.63,33
14.65,34
15.63,35
14.65,36
15.63,37
14.65,38
14.65,39
14.65,40
15.63,41
15.63,42
14.65,43
15.63,44
15.63,45
14.65,46
15.63,47
14.65,48
15.63,49
15.63,50
14.65,51
14.65,52
14.65,53
15.63,54
15.63,55
14.65,56
15.63,57
16.6,58
15.63,59
14.65,60
15.63,61
14.65,62
15.63,63
14.65,64
14.65,65
15.63,66
15.63,67
14.65,68
14.65,69
