ProbeTemp,Time
0,0
0,1
13.67,2
14.65,3
14.65,4
13.67,5
14.65,6
14.65,7
14.65,8
15.63,9
14.65,10
14.65,11
15.63,12
15.63,13
15.63,14
14.65,15
15.63,16
15.63,17
14.65,18
14.65,19
14.65,20
14.65,21
14.65,22
14.65,23
14.65,24
15.63,25
15.63,26
16.6,27
14.65,28
15.63,29
14.65,30
15.63,31
15.63,32
15.63,33
14.65,34
15.63,35
14.65,36
15.63,37
14.65,38
14.65,39
14.65,40
15.63,41
15.63,42
14.65,43
15.63,44
15.63,45
14.65,46
15.63,47
14.65,48
15.63,49
15.63,50
14.65,51
14.65,52
14.65,53
15.63,54
15.63,55
14.65,56
15.63,57
16.6,58
15.63,59
14.65,60
15.63,61
14.65,62
15.63,63
14.65,64
14.65,65
15.63,66
15.63,67
14.65,68
14.65,69
15.63,70
15.63,71
15.63,72
15.63,73
15.63,74
15.63,75
15.63,76
15.63,77
14.65,78
16.6,79
14.65,80
15.63,81
14.65,82
14.65,83
14.65,84
15.63,85
14.65,86
15.63,87
15.63,88
15.63,89
15.63,90
14.65,91
14.65,92
14.65,93
15.63,94
14.65,95
15.63,96
14.65,97
15.63,98
15.63,99
15.63,100
15.63,101
14.65,102
15.63,103
15.63,104
14.65,105
15.63,106
14.65,107
15.63,108
14.65,109
13.67,110
13.67,111
13.67,112
14.65,113
15.63,114
15.63,115
14.65,116
15.63,117
14.65,118
14.65,119
15.63,120
14.65,121
15.63,122
15.63,123
15.63,124
15.63,125
14.65,126
14.65,127
15.63,128
15.63,129
15.63,130
15.63,131
14.65,132
15.63,133
14.65,134
15.63,135
15.63,136
15.63,137
15.63,138
15.63,139
15.63,140
15.63,141
14.65,142
15.63,143
15.63,144
14.65,145
14.65,146
14.65,147
16.6,148
14.65,149
14.65,150
15.63,151
15.63,152
14.65,153
14.65,154
15.63,155
15.63,156
15.63,157
15.63,158
14.65,159
15.63,160
16.6,161
15.63,162
15.63,163
15.63,164
13.67,165
14.65,166
15.63,167
15.63,168
15.63,169
15.63,170
15.63,171
15.63,172
14.65,173
15.63,174
14.65,175
17.58,176
15.63,177
15.63,178
14.65,179
15.63,180
14.65,181
15.63,182
15.63,183
15.63,184
15.63,185
15.63,186
15.63,187
15.63,188
15.63,189
15.63,190
14.65,191
15.63,192
15.63,193
15.63,194
15.63,195
15.63,196
15.63,197
15.63,198
14.65,199
15.63,200
14.65,201
15.63,202
16.6,203
15.63,204
15.63,205
15.63,206
15.63,207
15.63,208
15.63,209
15.63,210
14.65,211
14.65,212
15.63,213
15.63,214
15.63,215
15.63,216
15.63,217
15.63,218
15.63,219
14.65,220
15.63,221
15.63,222
14.65,223
14.65,224
15.63,225
15.63,226
16.6,227
14.65,228
14.65,229
14.65,230
15.63,231
15.63,232
14.65,233
15.63,234
15.63,235
16.6,236
15.63,237
15.63,238
15.63,239
15.63,240
16.6,241
15.63,242
15.63,243
15.63,244
15.63,245
14.65,246
14.65,247
14.65,248
14.65,249
14.65,250
15.63,251
14.65,252
14.65,253
15.63,254
15.63,255
16.6,256
15.63,257
14.65,258
15.63,259
15.63,260
14.65,261
14.65,262
15.63,263
15.63,264
15.63,265
15.63,266
15.63,267
15.63,268
15.63,269
17.58,270
15.63,271
15.63,272
15.63,273
15.63,274
15.63,275
14.65,276
15.63,277
15.63,278
15.63,279
16.6,280
15.63,281
15.63,282
15.63,283
15.63,284
15.63,285
15.63,286
15.63,287
15.63,288
15.63,289
16.6,290
15.63,291
15.63,292
15.63,293
15.63,294
15.63,295
15.63,296
16.6,297
15.63,298
15.63,299
16.6,300
15.63,301
15.63,302
15.63,303
16.6,304
16.6,305
16.6,306
16.6,307
15.63,308
14.65,309
15.63,310
15.63,311
15.63,312
15.63,313
15.63,314
15.63,315
15.63,316
15.63,317
15.63,318
15.63,319
15.63,320
16.6,321
15.63,322
14.65,323
14.65,324
14.65,325
16.6,326
15.63,327
15.63,328
15.63,329
16.6,330
15.63,331
15.63,332
15.63,333
15.63,334
15.63,335
15.63,336
15.63,337
14.65,338
15.63,339
15.63,340
15.63,341
15.63,342
15.63,343
15.63,344
15.63,345
16.6,346
17.58,347
16.6,348
16.6,349
15.63,350
15.63,351
15.63,352
15.63,353
16.6,354
15.63,355
16.6,356
15.63,357
15.63,358
15.63,359
14.65,360
16.6,361
16.6,362
16.6,363
15.63,364
