ProbeTemp,Time
132.81,0
133.79,1
133.79,2
133.79,3
133.79,4
133.79,5
133.79,6
133.79,7
133.79,8
132.81,9
133.79,10
132.81,11
132.81,12
132.81,13
133.79,14
132.81,15
131.84,16
132.81,17
132.81,18
132.81,19
132.81,20
132.81,21
131.84,22
132.81,23
131.84,24
131.84,25
131.84,26
131.84,27
131.84,28
131.84,29
131.84,30
131.84,31
131.84,32
131.84,33
133.79,34
131.84,35
132.81,36
132.81,37
133.79,38
133.79,39
132.81,40
132.81,41
132.81,42
133.79,43
133.79,44
134.77,45
136.72,46
134.77,47
134.77,48
134.77,49
134.77,50
135.74,51
135.74,52
135.74,53
137.7,54
135.74,55
135.74,56
136.72,57
136.72,58
136.72,59
136.72,60
136.72,61
136.72,62
137.7,63
137.7,64
137.7,65
137.7,66
139.65,67
139.65,68
139.65,69
138.67,70
137.7,71
139.65,72
138.67,73
138.67,74
139.65,75
139.65,76
139.65,77
139.65,78
140.63,79
140.63,80
139.65,81
140.63,82
140.63,83
142.58,84
140.63,85
141.6,86
141.6,87
141.6,88
141.6,89
141.6,90
142.58,91
141.6,92
143.55,93
141.6,94
143.55,95
143.55,96
143.55,97
143.55,98
143.55,99
145.51,100
143.55,101
143.55,102
144.53,103
144.53,104
143.55,105
145.51,106
145.51,107
145.51,108
145.51,109
145.51,110
146.48,111
145.51,112
145.51,113
146.48,114
146.48,115
146.48,116
146.48,117
146.48,118
146.48,119
146.48,120
147.46,121
147.46,122
147.46,123
147.46,124
147.46,125
148.44,126
148.44,127
148.44,128
148.44,129
148.44,130
148.44,131
148.44,132
149.41,133
150.39,134
148.44,135
149.41,136
149.41,137
149.41,138
150.39,139
150.39,140
150.39,141
149.41,142
150.39,143
150.39,144
150.39,145
150.39,146
150.39,147
150.39,148
150.39,149
150.39,150
152.34,151
152.34,152
152.34,153
151.37,154
152.34,155
152.34,156
152.34,157
152.34,158
152.34,159
153.32,160
153.32,161
152.34,162
153.32,163
151.37,164
152.34,165
153.32,166
151.37,167
152.34,168
153.32,169
152.34,170
152.34,171
152.34,172
152.34,173
152.34,174
152.34,175
152.34,176
152.34,177
151.37,178
151.37,179
150.39,180
150.39,181
150.39,182
149.41,183
148.44,184
149.41,185
149.41,186
148.44,187
148.44,188
148.44,189
147.46,190
147.46,191
147.46,192
147.46,193
147.46,194
147.46,195
147.46,196
147.46,197
146.48,198
148.44,199
147.46,200
148.44,201
146.48,202
147.46,203
147.46,204
147.46,205
148.44,206
147.46,207
148.44,208
147.46,209
149.41,210
149.41,211
149.41,212
149.41,213
149.41,214
149.41,215
149.41,216
149.41,217
149.41,218
149.41,219
150.39,220
150.39,221
150.39,222
152.34,223
149.41,224
150.39,225
152.34,226
150.39,227
151.37,228
150.39,229
153.32,230
152.34,231
152.34,232
151.37,233
153.32,234
153.32,235
153.32,236
153.32,237
153.32,238
153.32,239
153.32,240
153.32,241
153.32,242
153.32,243
154.3,244
155.27,245
154.3,246
154.3,247
154.3,248
154.3,249
154.3,250
155.27,251
155.27,252
155.27,253
155.27,254
157.23,255
155.27,256
155.27,257
155.27,258
155.27,259
156.25,260
156.25,261
155.27,262
156.25,263
157.23,264
156.25,265
157.23,266
158.2,267
158.2,268
158.2,269
158.2,270
158.2,271
157.23,272
158.2,273
158.2,274
159.18,275
159.18,276
159.18,277
159.18,278
159.18,279
159.18,280
159.18,281
160.16,282
160.16,283
159.18,284
160.16,285
161.13,286
160.16,287
160.16,288
160.16,289
160.16,290
161.13,291
161.13,292
160.16,293
160.16,294
162.11,295
161.13,296
161.13,297
161.13,298
162.11,299
161.13,300
163.09,301
162.11,302
162.11,303
162.11,304
163.09,305
163.09,306
164.06,307
164.06,308
162.11,309
162.11,310
163.09,311
163.09,312
164.06,313
163.09,314
163.09,315
164.06,316
164.06,317
164.06,318
164.06,319
164.06,320
164.06,321
165.04,322
165.04,323
164.06,324
164.06,325
165.04,326
165.04,327
165.04,328
166.02,329
165.04,330
165.04,331
165.04,332
165.04,333
166.02,334
165.04,335
166.99,336
166.99,337
166.99,338
166.99,339
166.02,340
166.02,341
166.99,342
166.99,343
166.99,344
166.99,345
166.99,346
166.99,347
166.99,348
166.99,349
166.99,350
167.97,351
166.99,352
166.99,353
167.97,354
167.97,355
167.97,356
167.97,357
167.97,358
168.95,359
169.92,360
167.97,361
167.97,362
169.92,363
167.97,364
168.95,365
167.97,366
168.95,367
167.97,368
166.02,369
166.99,370
166.99,371
166.02,372
165.04,373
166.99,374
166.02,375
166.02,376
166.02,377
166.02,378
166.02,379
164.06,380
164.06,381
164.06,382
164.06,383
164.06,384
164.06,385
163.09,386
163.09,387
163.09,388
163.09,389
163.09,390
162.11,391
162.11,392
162.11,393
161.13,394
162.11,395
161.13,396
161.13,397
161.13,398
161.13,399
160.16,400
159.18,401
159.18,402
159.18,403
158.2,404
159.18,405
158.2,406
158.2,407
158.2,408
157.23,409
156.25,410
156.25,411
156.25,412
156.25,413
155.27,414
154.3,415
155.27,416
155.27,417
155.27,418
155.27,419
155.27,420
154.3,421
154.3,422
153.32,423
152.34,424
153.32,425
153.32,426
152.34,427
151.37,428
153.32,429
151.37,430
152.34,431
151.37,432
149.41,433
150.39,434
149.41,435
149.41,436
149.41,437
149.41,438
149.41,439
149.41,440
148.44,441
150.39,442
147.46,443
148.44,444
147.46,445
148.44,446
147.46,447
147.46,448
147.46,449
146.48,450
147.46,451
147.46,452
146.48,453
147.46,454
147.46,455
148.44,456
148.44,457
146.48,458
146.48,459
146.48,460
147.46,461
146.48,462
147.46,463
147.46,464
146.48,465
146.48,466
146.48,467
146.48,468
147.46,469
147.46,470
148.44,471
146.48,472
146.48,473
146.48,474
147.46,475
147.46,476
147.46,477
147.46,478
147.46,479
147.46,480
146.48,481
147.46,482
146.48,483
146.48,484
146.48,485
145.51,486
146.48,487
146.48,488
146.48,489
146.48,490
145.51,491
146.48,492
146.48,493
146.48,494
146.48,495
146.48,496
146.48,497
146.48,498
146.48,499
146.48,500
146.48,501
145.51,502
147.46,503
146.48,504
145.51,505
146.48,506
145.51,507
146.48,508
146.48,509
145.51,510
146.48,511
145.51,512
145.51,513
145.51,514
146.48,515
145.51,516
145.51,517
146.48,518
145.51,519
145.51,520
146.48,521
144.53,522
145.51,523
145.51,524
144.53,525
146.48,526
144.53,527
145.51,528
145.51,529
144.53,530
144.53,531
144.53,532
144.53,533
144.53,534
144.53,535
144.53,536
143.55,537
144.53,538
144.53,539
144.53,540
144.53,541
144.53,542
145.51,543
144.53,544
143.55,545
144.53,546
144.53,547
144.53,548
143.55,549
144.53,550
143.55,551
143.55,552
143.55,553
144.53,554
143.55,555
145.51,556
143.55,557
143.55,558
144.53,559
144.53,560
144.53,561
143.55,562
143.55,563
143.55,564
143.55,565
142.58,566
143.55,567
143.55,568
143.55,569
143.55,570
143.55,571
144.53,572
144.53,573
143.55,574
142.58,575
143.55,576
143.55,577
142.58,578
142.58,579
142.58,580
142.58,581
142.58,582
143.55,583
143.55,584
143.55,585
142.58,586
143.55,587
143.55,588
143.55,589
142.58,590
142.58,591
142.58,592
142.58,593
142.58,594
142.58,595
141.6,596
144.53,597
143.55,598
142.58,599
142.58,600
143.55,601
143.55,602
142.58,603
142.58,604
141.6,605
142.58,606
142.58,607
142.58,608
142.58,609
142.58,610
142.58,611
142.58,612
142.58,613
142.58,614
142.58,615
142.58,616
142.58,617
141.6,618
142.58,619
142.58,620
142.58,621
141.6,622
142.58,623
140.63,624
141.6,625
142.58,626
142.58,627
141.6,628
142.58,629
141.6,630
141.6,631
141.6,632
142.58,633
142.58,634
143.55,635
142.58,636
141.6,637
143.55,638
142.58,639
141.6,640
141.6,641
141.6,642
142.58,643
141.6,644
142.58,645
141.6,646
141.6,647
141.6,648
141.6,649
140.63,650
140.63,651
140.63,652
140.63,653
141.6,654
141.6,655
141.6,656
141.6,657
142.58,658
140.63,659
141.6,660
141.6,661
141.6,662
141.6,663
140.63,664
140.63,665
141.6,666
139.65,667
140.63,668
140.63,669
140.63,670
141.6,671
140.63,672
141.6,673
140.63,674
140.63,675
140.63,676
140.63,677
141.6,678
141.6,679
140.63,680
140.63,681
140.63,682
140.63,683
140.63,684
140.63,685
140.63,686
141.6,687
140.63,688
140.63,689
140.63,690
140.63,691
140.63,692
141.6,693
140.63,694
140.63,695
140.63,696
140.63,697
140.63,698
140.63,699
140.63,700
140.63,701
140.63,702
140.63,703
140.63,704
141.6,705
139.65,706
140.63,707
140.63,708
140.63,709
141.6,710
140.63,711
140.63,712
140.63,713
140.63,714
140.63,715
139.65,716
140.63,717
140.63,718
140.63,719
140.63,720
140.63,721
140.63,722
140.63,723
139.65,724
141.6,725
139.65,726
139.65,727
140.63,728
140.63,729
139.65,730
139.65,731
139.65,732
140.63,733
139.65,734
139.65,735
139.65,736
139.65,737
140.63,738
139.65,739
139.65,740
140.63,741
140.63,742
140.63,743
139.65,744
139.65,745
139.65,746
139.65,747
140.63,748
140.63,749
140.63,750
140.63,751
139.65,752
139.65,753
138.67,754
140.63,755
141.6,756
139.65,757
140.63,758
140.63,759
140.63,760
140.63,761
140.63,762
140.63,763
139.65,764
138.67,765
139.65,766
140.63,767
139.65,768
138.67,769
139.65,770
139.65,771
139.65,772
139.65,773
139.65,774
140.63,775
138.67,776
139.65,777
139.65,778
139.65,779
139.65,780
140.63,781
140.63,782
140.63,783
139.65,784
139.65,785
139.65,786
139.65,787
139.65,788
139.65,789
138.67,790
140.63,791
139.65,792
139.65,793
139.65,794
139.65,795
138.67,796
139.65,797
139.65,798
139.65,799
138.67,800
140.63,801
140.63,802
140.63,803
139.65,804
138.67,805
139.65,806
139.65,807
138.67,808
140.63,809
139.65,810
139.65,811
139.65,812
139.65,813
139.65,814
139.65,815
138.67,816
139.65,817
139.65,818
138.67,819
139.65,820
139.65,821
139.65,822
139.65,823
139.65,824
139.65,825
139.65,826
139.65,827
138.67,828
139.65,829
139.65,830
137.7,831
138.67,832
138.67,833
137.7,834
138.67,835
137.7,836
137.7,837
136.72,838
136.72,839
137.7,840
136.72,841
136.72,842
135.74,843
135.74,844
135.74,845
135.74,846
135.74,847
135.74,848
135.74,849
135.74,850
133.79,851
133.79,852
133.79,853
133.79,854
133.79,855
132.81,856
133.79,857
134.77,858
131.84,859
131.84,860
131.84,861
131.84,862
132.81,863
131.84,864
130.86,865
131.84,866
130.86,867
130.86,868
130.86,869
130.86,870
130.86,871
131.84,872
128.91,873
129.88,874
128.91,875
130.86,876
128.91,877
129.88,878
128.91,879
128.91,880
128.91,881
