ProbeTemp,Time
20.51,0
20.51,10
19.53,20
20.51,30
18.55,40
20.51,50
19.53,60
19.53,70
19.53,80
19.53,90
19.53,100
19.53,110
19.53,120
19.53,130
19.53,140
19.53,150
20.51,160
20.51,170
19.53,180
19.53,190
19.53,200
19.53,210
18.55,220
20.51,230
19.53,240
18.55,250
19.53,260
19.53,270
19.53,280
19.53,290
19.53,300
19.53,310
19.53,320
20.51,330
18.55,340
21.48,350
20.51,360
19.53,370
19.53,380
19.53,390
20.51,400
18.55,410
20.51,420
19.53,430
18.55,440
21.48,450
19.53,460
20.51,470
20.51,480
19.53,490
19.53,500
20.51,510
19.53,520
20.51,530
19.53,540
19.53,550
20.51,560
18.55,570
19.53,580
18.55,590
20.51,600
20.51,610
19.53,620
20.51,630
20.51,640
20.51,650
20.51,660
20.51,670
20.51,680
18.55,690
20.51,700
20.51,710
20.51,720
20.51,730
18.55,740
19.53,750
19.53,760
19.53,770
18.55,780
20.51,790
19.53,800
19.53,810
20.51,820
19.53,830
20.51,840
19.53,850
19.53,860
20.51,870
21.48,880
20.51,890
20.51,900
21.48,910
20.51,920
21.48,930
20.51,940
20.51,950
20.51,960
20.51,970
19.53,980
18.55,990
19.53,1000
19.53,1010
19.53,1020
20.51,1030
19.53,1040
19.53,1050
20.51,1060
20.51,1070
19.53,1080
19.53,1090
19.53,1100
20.51,1110
20.51,1120
20.51,1130
21.48,1140
18.55,1150
20.51,1160
19.53,1170
19.53,1180
19.53,1190
18.55,1200
20.51,1210
20.51,1220
20.51,1230
19.53,1240
20.51,1250
20.51,1260
19.53,1270
21.48,1280
18.55,1290
19.53,1300
20.51,1310
19.53,1320
18.55,1330
19.53,1340
19.53,1350
20.51,1360
18.55,1370
19.53,1380
19.53,1390
19.53,1400
20.51,1410
18.55,1420
19.53,1430
19.53,1440
18.55,1450
20.51,1460
20.51,1470
18.55,1480
19.53,1490
19.53,1500
20.51,1510
20.51,1520
20.51,1530
19.53,1540
19.53,1550
19.53,1560
19.53,1570
18.55,1580
20.51,1590
20.51,1600
20.51,1610
19.53,1620
20.51,1630
20.51,1640
19.53,1650
20.51,1660
19.53,1670
19.53,1680
20.51,1690
19.53,1700
19.53,1710
20.51,1720
19.53,1730
19.53,1740
20.51,1750
20.51,1760
20.51,1770
19.53,1780
20.51,1790
20.51,1800
19.53,1810
19.53,1820
19.53,1830
21.48,1840
20.51,1850
20.51,1860
20.51,1870
19.53,1880
19.53,1890
20.51,1900
20.51,1910
20.51,1920
19.53,1930
20.51,1940
19.53,1950
20.51,1960
19.53,1970
19.53,1980
20.51,1990
20.51,2000
19.53,2010
19.53,2020
20.51,2030
20.51,2040
20.51,2050
19.53,2060
18.55,2070
20.51,2080
21.48,2090
20.51,2100
19.53,2110
20.51,2120
19.53,2130
19.53,2140
20.51,2150
20.51,2160
20.51,2170
20.51,2180
19.53,2190
18.55,2200
18.55,2210
20.51,2220
18.55,2230
20.51,2240
19.53,2250
20.51,2260
20.51,2270
21.48,2280
20.51,2290
21.48,2300
20.51,2310
21.48,2320
20.51,2330
21.48,2340
21.48,2350
21.48,2360
20.51,2370
19.53,2380
20.51,2390
20.51,2400
19.53,2410
19.53,2420
19.53,2430
20.51,2440
20.51,2450
20.51,2460
20.51,2470
20.51,2480
20.51,2490
19.53,2500
20.51,2510
20.51,2520
19.53,2530
20.51,2540
19.53,2550
20.51,2560
21.48,2570
20.51,2580
20.51,2590
20.51,2600
20.51,2610
19.53,2620
20.51,2630
19.53,2640
20.51,2650
20.51,2660
19.53,2670
20.51,2680
20.51,2690
20.51,2700
19.53,2710
20.51,2720
20.51,2730
20.51,2740
19.53,2750
20.51,2760
20.51,2770
20.51,2780
21.48,2790
20.51,2800
20.51,2810
20.51,2820
18.55,2830
20.51,2840
20.51,2850
20.51,2860
19.53,2870
20.51,2880
20.51,2890
20.51,2900
20.51,2910
20.51,2920
19.53,2930
19.53,2940
20.51,2950
20.51,2960
20.51,2970
20.51,2980
20.51,2990
19.53,3000
20.51,3010
21.48,3020
19.53,3030
20.51,3040
20.51,3050
20.51,3060
20.51,3070
19.53,3080
19.53,3090
19.53,3100
19.53,3110
20.51,3120
20.51,3130
18.55,3140
19.53,3150
18.55,3160
20.51,3170
20.51,3180
20.51,3190
19.53,3200
20.51,3210
19.53,3220
20.51,3230
19.53,3240
20.51,3250
19.53,3260
19.53,3270
18.55,3280
18.55,3290
20.51,3300
20.51,3310
20.51,3320
19.53,3330
20.51,3340
18.55,3350
20.51,3360
19.53,3370
20.51,3380
19.53,3390
19.53,3400
19.53,3410
19.53,3420
19.53,3430
19.53,3440
19.53,3450
19.53,3460
19.53,3470
19.53,3480
19.53,3490
19.53,3500
19.53,3510
19.53,3520
19.53,3530
19.53,3540
19.53,3550
19.53,3560
19.53,3570
19.53,3580
19.53,3590
19.53,3600
19.53,3610
19.53,3620
19.53,3630
19.53,3640
19.53,3650
19.53,3660
19.53,3670
19.53,3680
19.53,3690
19.53,3700
19.53,3710
19.53,3720
19.53,3730
19.53,3740
19.53,3750
19.53,3760
19.53,3770
19.53,3780
19.53,3790
19.53,3800
19.53,3810
19.53,3820
19.53,3830
19.53,3840
19.53,3850
19.53,3860
19.53,3870
19.53,3880
19.53,3890
19.53,3900
19.53,3910
19.53,3920
19.53,3930
19.53,3940
19.53,3950
19.53,3960
19.53,3970
19.53,3980
19.53,3990
